Category,Item,Serving Size,Weight (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Protein (g),Vitamin A (% DV),Vitamin C (% DV),Calcium (% DV),Iron (% DV)
Appetizers,Poutine Chicken,1 order,704,1410,71,15,1,80,4120,154,14,6,36,0,15,50,25
Appetizers,Poutine Plain,1 order,596,1330,70,14,1,65,3780,146,12,1,26,0,6,50,25
Appetizers,Pesto Chicken Spin Rolls,1 roll,160,420,22,6,0.5,30,1020,39,2,2,16,4,6,20,10
Appetizers,French Fries,Medium size,311,940,47,3.0,0,0,2120,121,11,0,8,0,6,6,15
Wings,Oven Baked Wings Buffalo Wings,1 piece,25,47.5,3,1,0.0,30,147.5,0.5,0,1,6,0,0,0,2
Wings,WingStreet Wings Traditional Wings,1 piece,16,40,3,1,0.0,19,126,0,0,0,4,0,0,0,1
Wings,Boneless Bites,1 piece,21,60,4,0,0.0,9,196,5,0,0,3,0,0,0,2
Wings,Buffalo Mild Wing Sauce,per serving for 1 wing,9,15,0,0,0,0,210,3,0,0,0,1,0,0,0
Wings,Buffalo Medium Wing Sauce,per serving for 1 wing,9,15,0,0,0,0,212,3,0,1,0,0,2,0,0
Wings,Buffalo Burning Hot Wing Sauce,per serving for 1 wing,9,15,0,0,0,0,212,3,0,1,0,0,2,0,0
Wings,Honey BBQ Sauce,per serving for 1 wing,14,35,0,0,0,0,128,8,0,7,0,0,1,0,1
Wings,Garlic Parmesan Sauce,per serving for 1 wing,7,5,0,0,0,1,21,0,0,0,0,0,0,1,0
Wings,Honey Garlic Sauce,per serving for 1 wing,8,20,0,0,0,0,46,5,0,5,0,0,0,0,0
Wings,Salt and Pepper Dry Rub,per serving for 1 wing,1,5,0,0,0,0,56,0,0,0,0,0,0,0,0
Wings,Indian Butter Sauce,per serving for 1 wing,14,20,1,0,0,1,118,3,0,2,0,2,0,0,1
Salad,Caesar Salad with Dressing,side,149,260,19,5,0.3,25,690,12,2,1,8,8,35,15,15
Salad,Caesar Salad with Dressing,entrée,295,540,40,10,0.5,55,1490,25,4,2,18,10,70,25,30
Salad,Greek Salad w/o Dressing,side,158,130,7,3,0.1,15,560,6,3,2,7,2,30,10,8
Salad,Greek Salad w/o Dressing,entrée,317,280,16,8,0.4,40,1200,12,5,3,16,8,60,25,15
Salad,Italian House Salad with Low Fat Raspberry Dressing,side,152,45,1,0,0,0,45,6,2,4,2,0,30,2,8
Salad,Italian House Salad w/o Dressing,side,158,80,2,0,0,0,190,12,2,2,3,0,35,4,15
Salad,Italian House Salad w/o Dressing,entrée,291,160,4,1,0.1,0,380,24,5,4,6,0,70,8,25
Salad,Warm Spinach Salad with Dressing,entrée,272,410,29,5,0.2,65,1080,13,2,7,27,15,10,4,10
Dressing and Dips,Caesar,side 28ml (1oz),,120,13,2,0.2,10,260,1,0,0,0.5,0,0,2,0
Dressing and Dips,Sweet Italian,side 28ml (1oz),,140,13,2,0.1,0,160,4,0,2,0.2,0,0,0,0
Dressing and Dips,Ranch,side 28ml (1oz),,120,13,2,0.1,10,230,2,0,1,0.3,0,0,0,0
Dressing and Dips,Low Fat Ravin' Raspberry,side 28ml (1oz),,40,0,0,0,0,80,5,0,4,0,0,0,0,0
Dressing and Dips,French,side 28ml (1oz),,110,10,2,0.1,0,240,4,0,3,0.1,2,0,0,0
Dressing and Dips,Poppy Seed,side 28ml (1oz),,150,15,1,0,0,159,3.74,0,2,0.2,0,0,0,0
