Item Name,Source URL,Serving Size,Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Fibre (g),Sugars (g),Protein (g),Potassium (mg),Calcium (% DV),Iron (% DV),Vitamin A (% DV),Vitamin C (% DV),Vitamin D (% DV),Contains Allergens,May Contain Allergens
Bacon ‘N Egg Bagel with Everything Bagel,https://www.mcdonalds.com/ca/en-ca/product/bacon-n-egg-with-everything-bagel.html,184 g,550 Cals,26 g,11 g,0.4 g,240 mg,950 mg,54 g,3 g,7 g,26 g,75 mg,10,22,11,,0,"Egg, Milk, Sesame Seeds, Soy, Wheat",
Sesame Bacon ‘N Egg Bagel,https://www.mcdonalds.com/ca/en-ca/product/bacon-n-egg-with-sesame-seed-bagel.html,185 g,550 Cals,25 g,11 g,0.4 g,240 mg,990 mg,57 g,3 g,9 g,26 g,75 mg,10,22,11,,0,"Barley, Egg, Milk, Sesame Seeds, Soy, Wheat",
Sausage ‘N Egg Bagel with Plain Bagel,https://www.mcdonalds.com/ca/en-ca/product/sausage-n-egg-with-plain-bagel.html,210 g,610 Cals,31 g,14 g,0.4 g,250 mg,990 mg,56 g,3 g,9 g,26 g,300 mg,10,22,11,,0,"Barley, Egg, Milk, Soy, Wheat",
Sausage ‘N Egg Bagel with Everything Bagel,https://www.mcdonalds.com/ca/en-ca/product/sausage-n-egg-with-everything-bagel.html,208 g,620 Cals,33 g,14 g,0.4 g,250 mg,950 mg,54 g,3 g,7 g,27 g,175 mg,10,25,11,,0,"Egg, Milk, Sesame Seeds, Soy, Wheat",
Sesame Sausage ‘N Egg Bagel,https://www.mcdonalds.com/ca/en-ca/product/sausage-n-egg-with-sesame-seed-bagel.html,209 g,620 Cals,33 g,14 g,0.4 g,250 mg,990 mg,56 g,3 g,8 g,26 g,175 mg,10,22,11,,0,"Barley, Egg, Milk, Sesame Seeds, Soy, Wheat",
Chicken McGriddles,https://www.mcdonalds.com/ca/en-ca/product/chicken-mcgriddles.html,143 g,360 Cals,14 g,4.5 g,0.1 g,25 mg,960 mg,47 g,1 g,14 g,10 g,400 mg,6,14,0,,0,"Barley, Milk, Soy, Wheat",
"Bacon, Egg & Cheese McGriddles",https://www.mcdonalds.com/ca/en-ca/product/bacon-egg-cheese-mcgriddles.html,159 g,380 Cals,18 g,8 g,0.2 g,195 mg,1080 mg,42 g,1 g,15 g,14 g,150 mg,13,14,0,,0,"Barley, Egg, Milk, Soy, Wheat",
"Sausage, Egg & Cheese McGriddles",https://www.mcdonalds.com/ca/en-ca/product/sausage-egg-cheese-mcgriddles.html,193 g,510 Cals,29 g,12 g,0.3 g,220 mg,1290 mg,42 g,1 g,15 g,19 g,250 mg,13,14,0,,0,"Barley, Egg, Milk, Soy, Wheat",
Sausage McGriddles,https://www.mcdonalds.com/ca/en-ca/product/sausage-mcgriddles.html,133 g,390 Cals,21 g,8 g,0.1 g,35 mg,1050 mg,41 g,1 g,14 g,10 g,175 mg,6,13,0,,0,"Barley, Milk, Soy, Wheat",
Breakfast Burrito,https://www.mcdonalds.com/ca/en-ca/product/breakfast-burrito.html,114 g,290 Cals,16 g,7 g,0.2 g,165 mg,570 mg,23 g,1 g,1 g,13 g,150 mg,8,13,0,,0,"Egg, Milk, Soy, Wheat",
