Category,Product Name,Serving Size (g),Weight Per Slice (g),Serving Size,Calories (Cals),Protein (g),Carbs (g),Fibre (g),Sugars (g),Total Fat (g),Sat. Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Potassium (% DV),Calcium (% DV),Iron (% DV)
Sandwiches,Buffalo Chicken Sandwich,,,,,,,,,,,,,,,,
Sandwiches,Classic Chicken Sandwich,,,Per sandwich,760,24,52,4,8,52,5,0.2,35,1530,,,25%
Sandwiches,Creamy Garlic Chicken Sandwich,,,Per sandwich,760,24,51,4,8,52,4.5,0.5,35,1430,,,25%
Sandwiches,Spicy Sriracha Mayo Chicken Sandwich,,,Per sandwich,680,24,53,4,9,43,4.5,0.2,35,1650,,,25%
Sides,Fries,,,1,330,3,48,4,1,13,15,0.1,0,680,,,6%
Sides,Curly Fries,,,,,,,,,,,,,,,,
Sides,Jalapeño Poppers,2,,,140,3,16,1,3,8,35,0.1,15,490,,,4%
Sides,Cauliflower Bites,,,1,280,4,28,0,2,17,2,0,0,550,,,6%
Sides,Sauced Clauliflower Bites,,,,,,,,,,,,,,,,
Sides,Onion Rings,,,1,500,5,56,2,7,29,3,0.1,0,1310,,,20%
Sides,Lay’s Classic,40,,,220,2,21,1,0,14,15,0,0,270,,,4%
Sides,Doritos Nachos Cheese,45,,,230,3,28,2,1,12,15,0,0,330,,,4%
Sides,Ruffles,40,,,210,3,21,1,1,13,15,0,0,470,,,4%
Strombolis,Pesto Mediterranean Stromboli,,,Per stromboli,810,26,91,4,11,38,"9,00","4,00",30,2.280,12,27%,36%
Strombolis,Pepperoni Stromboli,,,Per stromboli,770,31,84,4,9,35,"12,00","10,00",60,1.910,10,23%,33%
Strombolis,Four Meat Stromboli,,,Per stromboli,790,35,84,4,9,35,"12,00","5,00",70,2.040,9,23%,36%
Strombolis,Smokey BBQ Chicken Stromboli,,,Per stromboli,740,35,96,4,20,24,"8,00","3,00",65,1.970,19,27%,33%
Strombolis,Hawaiian Stromboli,,,Per stromboli,730,29,90,4,14,28,"10,00","4,00",45,1.750,9,23%,33%
Wing Sauce,Buffalo Sauce,1,,,80,0.1,0.5,0.2,0,8,1.7,0,0,563,,,0%
Wing Sauce,Honey Garlic Sauce,1,,,45,0.1,11,0,10,0,0,0,0,65,,,0%
Wing Sauce,Hot Sauce,1,,,35,0.3,6,0,4,1,0.5,0,0,590,,,0%
Wing Sauce,Sweet Chili Thai Sauce,1,,,50,0.1,13,0,11,0,0,0,0,210,,,0%
Wing Sauce,Texas BBQ Sauce,1,,,50,0.3,11,0,9,2,0,0,0,240,,,2%
